,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,15,"Van Unen, Rylan",So,6-1,190,2/26/1999,"Kamloops, B.C.",Forwards,73,,,,Merritt,BCHL,Northern-Michigan
,19,"Vanderbeck, AJ",Jr,5-11,180,9/23/1997,"Monument, Colo.",Forwards,71,,,,Wenatchee,BCHL,Northern-Michigan
,25,"Willits, Brett",So,5-10,174,3/16/1999,"London, Ont.",Forwards,70,,,,Chilliwack,BCHL,Northern-Michigan
,33,"DiMatteo, Rico",So,6-3,161,1/1/2001,"Brasher Falls, N.Y.",Goaltenders,75,,,,Northern Michigan,CCHA,Northern-Michigan
,31,"Glockner, Charlie",Fr,6-3,181,6/27/2000,"Minnetonka, Minn.",Goaltenders,75,,,,Waterloo,USHL,Northern-Michigan
,30,"Golisek, Braden",Sr,5-10,180,,"Marquette, Mich.",Goaltenders,70,,,,Marquette,USHS,Northern-Michigan
,1,"Kent, Nolan",Sr,6-0,196,8/12/1998,"Chestermere, Alb.",Goaltenders,72,,,,Northern Michigan,CCHA,Northern-Michigan
,8,"Bochen, Nick",So,5-9,165,8/29/2001,"North Vancouver, B.C.",Defensemen,69,,,,Prince George,BCHL,Quinnipiac
,7,"Chorney, Marcus",Sr,6-1,190,9/16/1997,"Hastings, Minn.",Defensemen,73,,,,Amarillo,NAHL,Quinnipiac
,19,"Friedmann, TJ",Sr,6-2,180,2/27/1998,"St. Louis, Mo.",Defensemen,74,,,,Victoria,BCHL,Quinnipiac
,15,"Lee, Jayden",Jr,5-9,160,1/10/2001,"North Vancouver, B.C.",Defensemen,69,,,,Powell,BCHL,Quinnipiac
,24,"Less, Brendan",Sr,5-11,170,4/28/1998,"Kinnelon, N.J.",Defensemen,71,,,,Dartmouth,ECAC,Quinnipiac
,5,"McGee, CJ",Jr,6-0,180,3/12/1999,"Pearl River, N.Y.",Defensemen,72,,,,Shreveport,NAHL,Quinnipiac
,6,"Mendel, Griffin",Sr,6-6,225,2/17/1999,"Kelowna, B.C.",Defensemen,78,,,,Denver,NCHC,Quinnipiac
,23,"Metsa, Zach",Sr,5-9,180,10/19/1998,"Delafield, Wis.",Defensemen,69,,,,Central Illinois,USHL,Quinnipiac
,2,"Rasanen, Iivari",So,6-1,200,5/23/2001,"Tampere, Finland",Defensemen,73,,,,Muskegon,USHL,Quinnipiac
,18,"Stillwell, Tony",Sr,5-9,170,4/18/1997,"Green Bay, Wis.",Defensemen,69,,,,Brown,ECAC,Quinnipiac
,11,"Bongiovanni, Wyatt (C)",Sr,6-0,195,7/24/1999,"Birmingham, Mich.",Forwards,72,,,,Muskegon,USHL,Quinnipiac
,22,"Brind'Amour, Skyler",Jr,6-2,185,7/27/1999,"Raleigh, N.C.",Forwards,74,2017,EDM,6,Chilliwack,BCHL,Quinnipiac
,27,"Burgart, Desi",Sr,6-1,185,9/28/1998,"North Vancouver, B.C.",Forwards,73,,,,Surrey,BCHL,Quinnipiac
,12,"Chau, Oliver",Sr,5-9,165,8/21/1997,"Oakville, Ont.",Forwards,69,,,,Massachusetts,HEA,Quinnipiac
,17,"Cipollone, Joey",Jr,5-11,185,7/12/1999,"Purchase, N.Y.",Forwards,71,,,,Vermont,HEA,Quinnipiac
,10,"de Jong, Ethan",Sr,5-11,180,7/12/1999,"North Vancouver, B.C.",Forwards,71,,,,Prince George,BCHL,Quinnipiac
,13,"Fillion, Christophe",Fr,5-10,175,6/18/2000,"Sherbrooke, Que.",Forwards,70,,,,Muskegon,USHL,Quinnipiac
,14,"Leyh, Ethan",Jr,6-0,195,6/7/2001,"Anmore, B.C.",Forwards,72,,,,Langley,BCHL,Quinnipiac
,4,"Lombardi, Michael",Sr,6-0,190,8/20/1998,"Barrington, R.I.",Forwards,72,,,,West Kelowna,BCHL,Quinnipiac
,28,"McLinskey, Liam",Fr,6-3,165,2/20/2001,"Pearl River, N.Y.",Forwards,75,,,,Quinnipiac,ECAC,Quinnipiac
,16,"Quillan, Jacob",Fr,6-0,201,2/2/2002,"Dartmouth, N.S.",Forwards,72,,,,Salisbury School,,Quinnipiac
,96,"Smilanic, Ty",So,6-1,178,1/20/2002,"Denver, Colo.",Forwards,73,2020,FLA,3,USA U-18 Team,NTDP,Quinnipiac
,29,"Tellier, Cristophe",Fr,6-0,172,5/23/2000,"Sherbrooke, Que.",Forwards,72,,,,Muskegon,USHL,Quinnipiac
,26,"van Nes, Guus",Sr,6-3,205,2/14/1997,"Hendrik-Ido-Ambacht, Netherlands",Forwards,75,,,,Boston Jr. Bruins,USPHL,Quinnipiac
,31,"Altman, Noah",Fr,6-7,209,8/16/2000,"Los Angeles, Calif.",Goaltenders,79,,,,Bismarck,NAHL,Quinnipiac
,1,"Perets, Yaniv",Fr,6-1,180,3/4/2000,"Dollard-des-Ormeaux, Que.",Goaltenders,73,,,,Penticton,AJHL,Quinnipiac
,37,"St. Cyr, Dylan",Sr,5-8,167,5/23/1999,"Northville, Mich.",Goaltenders,68,,,,Quinnipiac,ECAC,Quinnipiac
,27,"Arvedson, Adam",Fr,5-11,165,8/30/2001,"Karlstad, Sweden",Defensemen,71,,,,Färjestad BK J20,,Merrimack
,4,"Brown, Mike",Fr,6-2,202,4/3/2001,"Belmont, Mass.",Defensemen,74,,,,Youngstown,USHL,Merrimack
,3,"Carlile, Declan",Jr,6-2,190,5/18/2000,"Hartland, Mich.",Defensemen,74,,,,Muskegon,USHL,Merrimack
,8,"Dennison, Liam",Jr,5-9,190,2/7/1999,"Manotick, Ont.",Defensemen,69,,,,Youngstown,USHL,Merrimack
,2,"Felton, Christian",So,6-1,195,2/4/2000,"Medina, Ohio",Defensemen,73,,,,Vernon,BCHL,Merrimack
,5,"Sadovski, Kevin",So,6-1,200,7/6/1999,"Palm Coast, Fla.",Defensemen,73,,,,Utica Jr. Comets,USPHL,Merrimack
,7,"Uens, Zach",Jr,6-1,175,5/13/2001,"Belleville, Ont.",Defensemen,73,2020,FLA,4,Wellington,OJHL,Merrimack
,6,"Vinnell, Zach",Jr,6-1,185,4/3/1998,"Cochrane, Alb.",Defensemen,73,,,,Merrimack,HEA,Merrimack
,26,"Zivlak, Ivan",Fr,6-2,179,8/8/2002,"Gislaved, Sweden",Defensemen,74,,,,Linköping,J20 Nationell,Merrimack
,18,"Brar, Ben",Jr,6-2,184,11/19/1998,"Abbotsford, B.C.",Forwards,74,,,,Prince George,BCHL,Merrimack
,21,"Copponi, Matt",Fr,5-11,161,6/4/2003,"Mansfield, Mass.",Forwards,71,2023,EDM,7,Dexter Southfield,NEPSAC,Merrimack
,22,"Drevitch, Logan",Sr,5-9,170,6/14/1998,"Middleborough, Mass.",Forwards,69,,,,Boston,USPHL,Merrimack
,14,"Durflinger, Jake",Sr,5-9,170,10/6/1997,"Walnut Creek, Calif.",Forwards,69,,,,Bloomington,USHL,Merrimack
,15,"Esselin, Hugo",Jr,6-2,185,7/15/2000,"Stockholm, Sweden",Forwards,74,,,,Djurgårdens IF J20,SuperElit,Merrimack
,28,"Forsmark, Filip",Jr,5-10,170,6/23/1998,"Skövde, Sweden",Forwards,70,,,,Tri-City,USHL,Merrimack
,20,"Hillier, Mark",Fr,6-1,180,3/18/2002,"Labrador City, Newf.",Forwards,73,,,,St. Andrew's College,CISAA,Merrimack
,13,"Jandric, Steven",Sr,5-11,181,8/18/1997,"Prince George, B.C.",Forwards,71,,,,Denver,NCHC,Merrimack
,19,"Jefferies, Alex",So,6-0,195,11/8/2001,"Lunenburg, Mass.",Forwards,72,2020,NYI,4,The Gunnery,PREP,Merrimack
,25,"Karlsson-Tagtstrom, Filip",So,5-9,165,7/14/1999,"Stockholm, Sweden",Forwards,69,,,,Sioux Falls,USHL,Merrimack
,16,"Kimens, Regan",Jr,6-1,190,3/28/1999,"Vaughan, Ont.",Forwards,73,,,,Coquitlam,BCHL,Merrimack
,11,"Messner, Mick",Jr,5-11,194,4/20/1999,"Madison, Wis.",Forwards,71,,,,Wisconsin,B10,Merrimack
,10,"Newton, Max",Sr,5-10,185,11/14/1997,"Vancouver, B.C.",Forwards,70,,,,Alaska,WCHA,Merrimack
,24,"Nolan, Ryan",Jr,6-1,205,7/14/1998,"Winnetka, Ill.",Forwards,73,,,,Merrimack,HEA,Merrimack
,23,"O'Brien, Devlin",Fr,5-10,174,4/5/2002,"Toronto, Ont.",Forwards,70,,,,Penticton,BCHL,Merrimack
,12,"Seyfert, Jordan",Sr,5-9,170,4/3/1999,"Annville, Pa.",Forwards,69,,,,Fargo,USHL,Merrimack
,9,"Walsh, Liam",Jr,6-0,190,7/14/1999,"Bridgeville, Pa.",Forwards,72,,,,Merrimack,HEA,Merrimack
,17,"Welsher, Mac",Jr,5-8,175,4/24/1999,"Grosse Pointe Farms, Mich.",Forwards,68,,,,Des Moines,USHL,Merrimack
,29,"Borgiel, Zachary",So,6-2,205,4/27/2000,"Fort Gratiot, Mich.",Goaltenders,74,,,,Cowichan Valley,BCHL,Merrimack
,30,"Kobryn, Troy",Jr,6-1,195,2/14/1999,"Hillsborough, N.J.",Goaltenders,73,,,,Merrimack,Hockey East,Merrimack
,1,"Ollas, Hugo",Fr,6-8,238,4/24/2002,"Linköping, Sweden",Goaltenders,80,2020,NYR,7,Linköping,SHL,Merrimack
,3,"Buckley, Tyrell",Sr,6-0,195,3/1/1997,"Penticton, B.C.",Defensemen,72,,,,Michigan Tech,CCHA,Michigan-Tech
,5,"Datema, Brenden",Jr,6-5,220,3/18/1999,"Sterling Heights, Mich.",Defensemen,77,,,,Michigan Tech,CCHA,Michigan-Tech
,11,"Docter, Grant",Fr,5-10,174,12/6/2000,"Golden Valley, Minn.",Defensemen,70,,,,Michigan Tech,,Michigan-Tech
,19,"Gotz, Eric (C)",Sr,5-10,185,4/23/1998,"Hermantown, Minn.",Defensemen,70,,,,Michigan Tech,CCHA,Michigan-Tech
,26,"Karow, Michael",Gr,6-2,210,12/18/1998,"Green Bay, Wis.",Defensemen,74,2017,ARI,5,Boston College,HEA,Michigan-Tech
,4,"Lipe, Chris",Jr,6-1,200,11/23/1999,"Rockford, Mich.",Defensemen,73,,,,Dubuque,USHL,Michigan-Tech
,25,"Pietila, Jed",So,5-11,185,1/13/1999,"Howell, Mich.",Defensemen,71,,,,Austin,NAHL,Michigan-Tech
,8,"Russell, Trevor",Fr,6-2,197,2/2/2000,"Old Hickory, Tenn.",Defensemen,74,,,,Aberdeen,NAHL,Michigan-Tech
,24,"Swoyer, Colin",Sr,6-0,190,3/31/1998,"Hinsdale, Ill.",Defensemen,72,,,,Sioux Falls,USHL,Michigan-Tech
,27,"Thorne, Brett",So,6-2,205,3/15/1999,"Halifax, N.S.",Defensemen,74,,,,Carleton Place,CCHL,Michigan-Tech
,28,"Ashbrook, Tristan",Jr,5-11,175,7/16/1998,"Manistique, Mich.",Forwards,71,,,,Rensselaer,ECAC,Michigan-Tech
,23,"Bliss, Trenton (C)",Sr,6-1,195,3/16/1998,"Appleton, Wis.",Forwards,73,,,,Green Bay,USHL,Michigan-Tech
,29,"Broetzman, Alec (C)",Sr,6-1,200,2/5/1997,"Hudson, Wis.",Forwards,73,,,,Madison,USHL,Michigan-Tech
,55,"Bronte, Tyrone",Fr,5-10,175,5/7/1999,"Melbourne, Austria",Forwards,70,,,,Ala.-Huntsville,WCHA,Michigan-Tech
,20,"Caderoth, Arvid",So,6-5,210,5/14/2000,"Gothenburg, Sweden",Forwards,77,,,,Frolunda HC,Europe,Michigan-Tech
,10,"Crespi, Jake",Jr,6-0,195,12/10/1998,"Brighton, Mich.",Forwards,72,,,,Tri-City,USHL,Michigan-Tech
,14,"Ganie, Logan",Jr,5-11,180,6/28/1999,"Irma, Alb.",Forwards,71,,,,Michigan Tech,CCHA,Michigan-Tech
,12,"Halonen, Brian",Sr,6-0,215,1/11/1999,"Delano, Minn.",Forwards,72,,,,Des Moines,USHL,Michigan-Tech
,17,"Misiak, Justin",Sr,5-10,175,4/25/1996,"St. Clair Shores, Mich.",Forwards,70,,,,Austin,NAHL,Michigan-Tech
,2,"Mosley, Ryland",So,5-11,185,2/15/2000,"Arnprior, Ont.",Forwards,71,,,,Carleton Place,CCHL,Michigan-Tech
,7,"Nardella, Nick",So,5-10,175,2/9/1999,"Rosemont, Ill.",Forwards,70,,,,Janesville,NAHL,Michigan-Tech
,18,"Nordstrom, Alex",Fr,5-11,165,11/15/2000,"Atlantic Mine, Mich.",Forwards,71,,,,Green Bay,USHL,Michigan-Tech
,9,"Parrottino, Tommy",Sr,6-0,170,3/3/1998,"Rochester Hills, Mich.",Forwards,72,,,,Youngstown,USHL,Michigan-Tech
,16,"Pedersen, Marcus",Fr,6-3,187,5/25/2001,"Stockholm, Sweden",Forwards,75,,,,Malmo,J20 Nationell,Michigan-Tech
,13,"Pietila, Logan",Jr,5-11,170,1/27/2000,"Howell, Mich.",Forwards,71,,,,Dubuque,USHL,Michigan-Tech
,21,"Richartz, Blais",So,6-0,190,6/23/2000,"Menomonie, Wis.",Forwards,72,,,,Lincoln,USHL,Michigan-Tech
,15,"Saretsky, Parker",Jr,6-0,185,4/23/1999,"Wainwright, Alb.",Forwards,72,,,,Spruce Grove,AJHL,Michigan-Tech
,6,"Stauber, Levi",Fr,5-11,175,1/16/2000,"Hermantown, Minn.",Forwards,71,,,,Danbury,NAHL,Michigan-Tech
,35,"Bailey, Cayden",So,6-0,170,9/21/1999,"Estero, Fla.",Goaltenders,72,,,,Lone Star,NAHL,Michigan-Tech
,31,"Pietila, Blake",Jr,5-11,165,1/27/2000,"Howell, Mich.",Goaltenders,71,,,,Cedar Rapids,USHL,Michigan-Tech
,30,"Sinclair, Mark",Sr,6-0,180,3/8/1996,"Dundas, Ont.",Goaltenders,72,,,,Ala.-Huntsville,WCHA,Michigan-Tech
,34,"Capstick, Alec",Jr,6-2,200,2/18/1999,"Langley, B.C.",Defensemen,74,,,,Langley,BCHL,Miami
,5,"Clement, Jack",Jr,6-4,195,6/9/1999,"Detroit, Mich.",Defensemen,76,,,,Des Moines,USHL,Miami
,3,"Crowder, Bray",Sr,6-6,210,11/17/1998,"Sudbury, Ont.",Defensemen,78,,,,Muskegon,USHL,Miami
,13,"Daschke, Derek",Sr,6-2,195,1/6/1998,"Troy, Mich.",Defensemen,74,,,,Chicago,USHL,Miami
,15,"Donato, Nick",Fr,6-0,190,7/27/2002,"Chicago, Ill.",Defensemen,72,,,,Tri-City,USHL,Miami
,7,"Drazner, Robby",So,6-1,195,2/13/2000,"Buffalo Grove, Ill.",Defensemen,73,,,,Nanaimo,BCHL,Miami
,27,"Moulton, Dylan",So,6-2,199,4/24/2001,"Nolensville, Tenn.",Defensemen,74,,,,Green Bay,USHL,Miami
,24,"Murray, Alex",Fr,5-11,183,3/17/2000,"Glenview, Ill.",Defensemen,71,,,,Miami,NCHC,Miami
,16,"Rydqvist, Hampus",So,5-10,185,3/12/1999,"Göteborg, Sweden",Defensemen,70,,,,Maryland,NAHL,Miami
,4,"Sinard, Andrew",Sr,6-6,200,5/22/1997,"Brentwood, Tenn.",Defensemen,78,,,,Aberdeen,NAHL,Miami
,29,"Barbolini, Matthew",So,6-2,205,6/1/2000,"Williamsville, N.Y.",Forwards,74,,,,Lincoln,USHL,Miami
,26,"Barry, Matt",Sr,6-0,180,9/1/1997,"Naperville, Ill.",Forwards,72,,,,Holy Cross,AHA,Miami
,22,"Cassetti, Joe",Jr,6-4,205,2/28/1999,"Pleasanton, Calif.",Forwards,76,,,,Miami,NCHC,Miami
,25,"Corbett, Scott",Sr,6-1,190,4/14/1998,"Carmel, Ind.",Forwards,73,,,,Dubuque,USHL,Miami
,14,"Daskas, Thomas",So,6-2,200,9/3/1999,"Rochester, Minn.",Forwards,74,,,,Air Force,AHA,Miami
,8,"Fletcher, PJ",So,6-2,185,7/12/2001,"Dana Point, Calif.",Forwards,74,,,,Quinnipiac,ECAC,Miami
,18,"Graham, Monte",Sr,5-11,180,4/4/1998,"Hanover, Mass.",Forwards,71,,,,Muskegon,USHL,Miami
,10,"Gresock, Chase",Fr,6-1,205,8/13/1998,"Powell, Ohio",Forwards,73,,,,Miami,NCHC,Miami
,20,"Holland, Michael",So,6-1,195,11/23/1999,"Charlotte, N.C.",Forwards,73,,,,Boston,USPHL,Miami
,9,"Olmstead, Jack",Sr,5-10,180,2/6/1998,"Troy, Mich.",Forwards,70,,,,Michigan,B10,Miami
,28,"Pletzke, Chase",Jr,5-11,175,4/10/2000,"Bay City, Mich.",Forwards,71,,,,Miami,NCHC,Miami
,17,"Regush, Michael",Sr,6-1,200,9/12/1998,"Surrey, B.C.",Forwards,73,,,,Cornell,ECAC,Miami
,19,"Savage, Red",Fr,5-11,185,5/15/2003,"Scottsdale, Ariz.",Forwards,71,2021,DET,4,Miami,NCHC,Miami
,21,"Savage, Ryan",Jr,5-11,180,3/31/2000,"Montréal, Que.",Forwards,71,,,,Muskegon,USHL,Miami
,23,"Silver, Brian",So,5-10,180,11/6/2000,"Lake Bluff, Ill.",Forwards,70,,,,Miami,NCHC,Miami
,12,"Sladic, John",Jr,5-8,165,1/22/1998,"Novi, Mich.",Forwards,68,,,,Aberdeen,NAHL,Miami
,1,"Laursen, Kirk",Fr,6-3,175,1/2/2000,"Bloomfield Hills, Mich.",Goaltenders,75,,,,Miami,NCHC,Miami
,31,"Neaton, Logan",Jr,6-4,200,4/7/1999,"Brighton, Mich.",Goaltenders,76,2019,WPG,5,Mass.-Lowell,HEA,Miami
,32,"Persson, Ludvig",So,6-1,184,10/6/1999,"Hindås, Sweden",Goaltenders,73,,,,Miami,NCHC,Miami
,5,"Carlin, Noah",Fr,5-11,170,6/13/2000,"Marine City, Mich.",Defensemen,71,,,,Omaha,USHL,Niagara
,22,"Faulkner, Mike",Sr,5-11,170,2/25/1996,"Bronx, N.Y.",Defensemen,71,,,,Hobart,NCAA D3,Niagara
,4,"Harpur, Chris",Sr,6-3,200,9/13/1996,"Niagara-on-the-Lake, Ont.",Defensemen,75,,,,Cowichan Valley,BCHL,Niagara
,13,"Herrmann, Zac",Sr,6-0,185,11/6/1997,"Lancaster, N.Y.",Defensemen,72,,,,Odessa,NAHL,Niagara
,24,"Mysak, Josef",So,6-3,215,9/8/1999,"Litvínov, Czech Republic",Defensemen,75,,,,Austin,NAHL,Niagara
,2,"Pomeroy, Jesse",So,6-2,190,5/25/1999,"Prince George, B.C.",Defensemen,74,,,,Drayton Valley,AJHL,Niagara
,10,"Randklev, Carter",So,5-8,163,11/5/1999,"Moorhead, Minn.",Defensemen,68,,,,Fargo,USHL,Niagara
,3,"Roy, Alex",Jr,6-7,215,9/21/1998,"Beaumont, Que.",Defensemen,79,,,,Jamestown,NAHL,Niagara
,7,"Wishman, Jordan",Sr,6-1,187,11/22/1998,"Des Moines, Iowa",Defensemen,73,,,,Dubuque,USHL,Niagara
,28,"Zielinski, Jack",Sr,6-2,190,8/8/1996,"Richmond, Va.",Defensemen,74,,,,Lone Star,NAHL,Niagara
,18,"Ahearn, Jay",Fr,5-11,170,5/23/2001,"Staten Island, N.Y.",Forwards,71,,,,Johnstown,NAHL,Niagara
,15,"Cameron, Matt",So,5-11,185,6/8/2000,"Berwyn, Pa.",Forwards,71,,,,New Jersey,NAHL,Niagara
,19,"Cox, Ryan",Sr,5-11,195,7/23/1998,"St. Albert, Alb.",Forwards,71,,,,Sherwood Park,AJHL,Niagara
,27,"DeBoer, Jack",Sr,6-3,187,8/17/2000,"Madison, N.J.",Forwards,75,,,,Boston University,HEA,Niagara
,17,"Edgerton, Luke",Sr,5-10,180,5/1/1997,"Wheeling, W. Va.",Forwards,70,,,,Jersey,USPHL,Niagara
,11,"Gauthier, Olivier",So,5-10,154,4/9/1999,"Ferme-Neuve, Que.",Forwards,70,,,,Alaska Anchorage,WCHA,Niagara
,20,"Gorscak, Christian",So,5-11,183,6/8/2000,"Jeannette, Pa.",Forwards,71,,,,Johnstown,NAHL,Niagara
,25,"Hill, Jon",Sr,6-2,200,10/9/1998,"Whitby, Ont.",Forwards,74,,,,Brockville,CCHL,Niagara
,16,"Kindrachuk, Zane",Fr,5-10,161,1/4/2000,"Calgary, Alb.",Forwards,70,,,,Okotoks,AJHL,Niagara
,14,"Naumovski, Ryan",Jr,6-0,150,7/28/1999,"Shelby Township, Mich.",Forwards,72,,,,Niagara,AHA,Niagara
,9,"Nilsson, Albin",Jr,6-0,190,9/18/1998,"Ljungby, Sweden",Forwards,72,,,,Niagara,AHA,Niagara
,21,"Ott, Shane",Fr,5-11,165,7/21/2000,"Centennial, Colo.",Forwards,71,,,,Janesville,NAHL,Niagara
,12,"Pineo, Jason",Jr,6-2,200,2/23/1998,"Toronto, Ont.",Forwards,74,,,,Oakville,OJHL,Niagara
,23,"Rodne, Lars",Fr,6-0,181,7/22/2000,"Stavanger, Norway",Forwards,72,,,,Bismarck,NAHL,Niagara
,8,"Sommer, Walker",Sr,5-9,175,4/29/1996,"Avon, Ohio",Forwards,69,,,,Air Force,AHA,Niagara
,26,"Stanley, Brandon",Jr,6-2,202,5/3/1997,"Sioux Lookout, Ont.",Forwards,74,,,,Philadelphia,NAHL,Niagara
,35,"Corson, Michael",Sr,6-3,195,4/22/1999,"Darien, Ill.",Goaltenders,75,,,,Denver,NCHC,Niagara
,30,"Sibell, Jake",Fr,6-2,205,1/3/2000,"Isanti, Minn.",Goaltenders,74,,,,Niagara,AHA,Niagara
,31,"Veltri, Chad",Jr,5-11,187,6/3/1998,"Fox Chapel, Pa.",Goaltenders,71,,,,Niagara,AHA,Niagara
,6,"Dolan, Bryce",Sr,6-1,190,2/13/1999,"Barrington, R.I.",Defensemen,73,,,,Kimball Union,PREP,Holy-Cross
,7,"Hale, Nick",Jr,5-9,165,5/7/1999,"Raleigh, N.C.",Defensemen,69,,,,Holy Cross,AHA,Holy-Cross
,4,"Higgins, Jake",So,6-2,205,6/9/2001,"Hingham, Mass.",Defensemen,74,,,,Deerfield Academy,PREP,Holy-Cross
,5,"Higgins, Mike",Jr,5-10,205,4/6/2000,"Needham, Mass.",Defensemen,70,,,,Northeast,NAHL,Holy-Cross
,20,"Hillman, Jack",Fr,6-1,174,7/4/2001,"Zionsville, Ind.",Defensemen,73,,,,Maryland,NAHL,Holy-Cross
,2,"Robilotti, Jack",So,6-3,194,7/18/2001,"New York, N.Y.",Defensemen,75,,,,Fargo,USHL,Holy-Cross
,14,"Shatsky, Matt",Fr,6-0,170,4/29/2001,"Winnipeg, Man.",Defensemen,72,,,,Sherwood Park,AJHL,Holy-Cross
,27,"Slick, Matt (C)",Sr,6-1,214,3/13/1999,"Buffalo, N.Y.",Defensemen,73,,,,Holy Cross,AHA,Holy-Cross
,21,"Cicero, Alec",So,5-10,180,3/9/2001,"Williamsville, N.Y.",Forwards,70,,,,Buffalo Jr. Sabres,OJHL,Holy-Cross
,3,"Colabufo, Daniel",Fr,5-9,170,6/19/2001,"Camillus, N.Y.",Forwards,69,,,,Maryland,NAHL,Holy-Cross
,26,"Connors, Liam",Fr,5-9,165,2/1/2001,"Southborough, Mass.",Forwards,69,,,,Connecticut,NCDC,Holy-Cross
,13,"Constable, Grayson",Jr,6-2,201,5/5/1998,"Lethbridge, Alb.",Forwards,74,,,,Holy Cross,AHA,Holy-Cross
,24,"Gelatt, John",Fr,5-11,201,4/29/2001,"Middletown, N.J.",Forwards,71,,,,Johnstown,NAHL,Holy-Cross
,39,"Ghirardosi, Tyler",So,6-3,190,10/1/1999,"Trail, B.C.",Forwards,75,,,,Trail,BCHL,Holy-Cross
,12,"Guerra, Matt",So,5-10,165,5/21/1999,"Sanford, Fla.",Forwards,70,,,,Lone Star,NAHL,Holy-Cross
,8,"Kane, Michael",So,6-0,190,4/1/2000,"Guilford, Conn.",Forwards,72,,,,New Jersey,USPHL,Holy-Cross
,17,"Leibold, Ryan",Sr,5-10,195,11/3/1998,"Ashburn, Va.",Forwards,70,,,,Holy Cross,Atlantic Hockey,Holy-Cross
,23,"MacNab, Jack",Jr,6-0,202,7/3/1998,"Indianapolis, Ind.",Forwards,72,,,,Notre Dame,Big Ten,Holy-Cross
,19,"Peterson, Alex",Jr,5-10,172,3/27/1998,"Lansdale, Pa.",Forwards,70,,,,Holy Cross,AHA,Holy-Cross
,15,"Ricketts, Jack",So,6-1,195,9/8/1999,"Oakville, Ont.",Forwards,73,,,,Oakville,OJHL,Holy-Cross
,22,"Thorne, Lucas",So,6-0,185,3/5/1999,"Dunville, Ont.",Forwards,72,,,,Bonnyville,AJHL,Holy-Cross
,34,"Vincent, Anthony (C)",Sr,5-10,180,8/12/1997,"Wilton, Conn.",Forwards,70,,,,Holy Cross,AHA,Holy-Cross
,18,"Young, Bobby",Jr,5-11,185,11/8/1998,"Kitchner, Ont.",Forwards,71,,,,Bonnyville,AJHL,Holy-Cross
,33,"Gale, Thomas",Fr,6-1,181,6/10/2000,"Kirkland, Que.",Goaltenders,73,,,,PAL,NCDC,Holy-Cross
,29,"Gordon, Erik",Sr,5-10,172,1/5/1999,"Duluth, Ga.",Goaltenders,70,,,,Calgary,AJHL,Holy-Cross
,30,"Radomsky, Matt",Jr,6-2,185,6/21/1999,"Winnipeg, Man.",Goaltenders,74,,,,Holy Cross,Atlantic,Holy-Cross
,38,"Bergmanis, Arvils",Jr,5-11,187,12/29/1999,"Riga, Latvia",Defensemen,71,,,,Olimp Riga,,Alaska
,15,"Di Paolo, Antonio",So,5-11,190,1/14/1999,"La Ronge, Sask.",Defensemen,71,,,,Aberdeen Wings,NAHL,Alaska
,2,"Falk, Karl",Fr,6-3,205,1/20/2000,"Värmdö, Sweden",Defensemen,75,,,,Alaska,DI Independent,Alaska
,4,"Jakobsons, Kristaps",So,6-0,202,12/25/1996,"Tukums, Latvia",Defensemen,72,,,,Zemgale,Europe,Alaska
,23,"Kalkis, Roberts",Jr,6-1,210,12/22/1998,"Rīga, Latvia",Defensemen,73,,,,HK Rīga,Europe,Alaska
,5,"Komuls, Markuss",Jr,5-10,187,1/4/1998,"Talsi, Latvia",Defensemen,70,,,,Kenai,NAHL,Alaska
,8,"Muzzillo, Jordan",Sr,6-0,185,3/24/1997,"Capron, Ill.",Defensemen,72,,,,Springfield Jr. Blues,NAHL,Alaska
,7,"Pyke, Garrett",Jr,6-1,190,8/1/1999,"Mississauga, Ont.",Defensemen,73,,,,Alaska,DI Independent,Alaska
,25,"Virtanen, Antti",Sr,6-0,187,3/14/1998,"Kittilä, Finland",Defensemen,72,,,,Sioux Falls,NAHL,Alaska
,37,"Breault, Jakob",So,5-11,180,10/4/1999,"Acton Vale, Que.",Forwards,71,,,,Aberdeen Wings,NAHL,Alaska
,17,"Doyle, Colin",Sr,5-10,185,5/12/1998,"Cambellford, Ont.",Forwards,70,,,,Wellington,OJHL,Alaska
,16,"Dubois, Chase",Jr,5-9,160,3/12/1998,"Williams Lake, B.C.",Forwards,69,,,,West Kelowna,BCHL,Alaska
,20,"Falk, Simon",Fr,6-3,200,1/20/2000,"Värmdö, Sweden",Forwards,75,,,,Alaska,Independents,Alaska
,13,"Fornåå Svensson, Filip",Jr,6-4,205,1/5/1999,"Linköping, Sweden",Forwards,76,,,,Alaska,D-I Independent,Alaska
,6,"Henbrant, Didrik",Jr,5-10,169,4/10/1998,"Linköping, Sweden",Forwards,70,,,,Alaska,D-I Independent,Alaska
,12,"Hite, Caleb",Sr,5-11,185,2/11/1997,"Grand Blanc, Mich.",Forwards,71,,,,Alaska,D1 Ind.,Alaska
,24,"Israels, Harrison",So,6-1,200,9/1/1999,"Mississauga, Ont.",Forwards,73,,,,Oakville,OJHL,Alaska
,40,"Koethe, Matt",So,5-10,185,9/28/1999,"Minnetonka, Minn.",Forwards,70,,,,Fairbanks,NAHL,Alaska
